,아이디,댓글 내용
0,  Luv IT ATO,본 영상은 LG전자로부터 소정의 제작비를 받고  제품을 대여받아 제작되었습니다. A'score ️️️시청해주셔서 감사합니다.
1,  유시연,옵티컬이랑 usb모드 나뉘는게 좋아보이네요. 데탑 콘솔 같이 쓰는 입장에서 둘다연결해두고 다른기기 쓸때 버튼하나만 누르면 전환되는게 엄청 편해보이고.. 음질자체도 괜찮다니.. 비싸도 한번쯤 되돌아볼만한 기기인거같아요
2,  Awesome Jang,가격만 아니면 한번 써보고싶은 제품인데ㅋㅋ... 가격이 후덜덜한게 참 아쉽습니다. 필요로 할떄 들고다니면서 배터리로 사용해도 되고 좋네요ㅎㅎ 수고하셨습니다~
3,  Azbel Rex,제가 예전에 AAA급 게임들에 어울리는 스피커를 리뷰해달라고 했는데 해주셨군요!!!!! 사실 스피커를 서라운드급으로 사고 싶었는데 서라운드급부터는 너무 크기가 커지더군요. 그래서 망설이고 있었는데 2채널 스피커도 아무래도 스피커다 보니 공간감이나 이런게 좋은 거 같네요. 한 번 고려해봐야되겠습니다.
4,  렘푸,내장배터리 모델이라면 usb-c충전으로 변경되었으면 편의성이 더 좋았을텐데
5,  Corgi Kim,언뜻 보면 스피커를 사용하는 게이밍 데스크탑 환경에 최적화된 올인원 솔루션이라고 볼 수 있지만항상 그렇듯 올인원은 정말 모든게 다 뛰어나거나 아니면 다 씹어먹을정도로 가성비가 좋은게 아니라면 결국 애매하게 이도저도 아니게 되는 경우가 많아서올인원 컨셉이 나쁜건 아니지만 이미 저 기능 중 일부라도 다른제품으로 사용하고 있거나 더 전문적인 성능을 바라는 사람들에겐 별로 살 이유가 없는게 큰 듯
6,  DMIN,스피커로 마이크가 꽤 괜찮게 들리는게 인상적이네요 ㅎㅎ소리 자체도 나쁘지 않은 것 같은데....역시 가격이 ㅎㅎ제가 살만한건 아닌거 같은....ㅠㅠ
7,  Descendnt _Of_ Koguryeo,집에 수많은 사운드기기들이 있지만 fps게임류나 몰입감을 필요로 하는게임은 사불+헤드셋(DAC내장X)이 최고의 조합입니다. 스피커로 사플은 한계가 있고 사용환경에 따라 소리가 들리는게 다를수밖에 없더군요. 스피커는 영화나 음악감상 레이싱게임 할때 사용합니다. 사운드바 특성상 공간활용성이 우선이고 부피를 줄이다보니 소리는 한계가 있습니다. 지금 리뷰사운드를 듣는분들도 어떤스펙의 헤드셋/스피커인지에 따라 들리는체감이 확연히 다르실겁니다.
8,  deko,이정도 가격대라면 후면 전원이랑 유선연결 포트정도는 자석형으로 줘서 블투<->유선 변환 편의성을 극한으로 올려줬어야 한다.
9,  한형종,커뮤니티에서 실컷 까이던 제품이네요.설명을 들어보니 만능템 입니다.dac와 스피커.마이크 일체형이고 사용하기 좋은데 티비랑 연결하면 티비사운드바.휴대용으로 지니고 다닐수도 있겠군요.가격이50이던데 솔직히 좋은 스피커따로마이크 따로 앰프나 외장사운드카드 따로 다사면 그돈이상 나올겁니다.엘지가 허투로 만들진 않았테고 서비스또한 불편할리없고.스피커나 앰프 고장나면 어휴::사블g5 사용중인데 작년에 괜히 샀네요20정도 주고샀는데 ㅜㅜ
10,  Lo속기vE,항상 좋은 제품 그리고 한 주간의 뉴스을 잘 전달해주셔서 감사합니다..눈팅과 좋아요는 많이 누르고 가는대 댓글은 첨이네요..항상 건강유의하세요 오늘도 재미있게 보고갑니다..
